Cluster 0: 
Đội đặc nhiệm (install),306,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Gói đếm lượt install thử nghiệm,285,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Tin nhắn yêu thương,326,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Ma Tốc Độ  (install),307,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Ai là triệu phú siêu tốc (install),308,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Triệu phú siêu tốc Amobi,314,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Amobi test game CPI,315,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
ĐVMT,316,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Đào vàng mùa hạ,317,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Ô Ăn Quan,318,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Bảo Vệ Gái Làng,319,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
Đố vui trí tuệ - Cười chút nào,324,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,4,,1,2,,3,1,2
